Year,Hour,Wind Speed  ,
2016,6,9.28,9.5
2016,7,8.16,8.5
2016,8,7.62,7.5
2016,9,7.75,7.5
2016,10,7.28,7.5
2016,11,6.3,6.5
2016,12,5.92,5.5
2016,13,8.81,8.5
2016,14,8.71,8.5
2016,15,8.31,8.5
2016,16,8.6,8.5
2016,17,8.5,8.5
2016,18,8.71,8.5
2016,19,8.7,8.5
2016,20,8.2,8.5
2016,21,7.81,7.5
2016,22,7.2,7.5
2016,23,7,7.5
2016,0,7.3,7.5
2016,1,6.35,6.5
2016,2,6.02,6.5
2016,3,4.82,4.5
2016,4,3.4,3.5
2016,5,4.07,4.5
2016,6,2.42,2.5
2016,7,1.7,1.5
2016,8,1.66,1.5
2016,9,1.7,1.5
2016,10,2.33,2.5
2016,11,2.82,2.5
2016,12,3.57,3.5
2016,13,3.36,3.5
2016,14,3.38,3.5
2016,15,3.45,3.5
2016,16,3.79,3.5
2016,17,4.08,4.5
2016,18,4.55,4.5
2016,19,4.97,4.5
2016,20,3.67,3.5
2016,21,1.06,1.5
2016,22,2.02,2.5
2016,23,1.8,1.5
2016,0,3.98,3.5
2016,1,6.04,6.5
2016,2,7.35,7.5
2016,3,7.66,7.5
2016,4,7.69,7.5
2016,5,7.2,7.5
2016,6,7.31,7.5
2016,7,7.44,7.5
2016,8,6.44,6.5
2016,9,6.17,6.5
2016,10,6.18,6.5
2016,11,6.02,6.5
2016,12,5.91,5.5
2016,13,5.28,5.5
2016,14,5.19,5.5
2016,15,4.96,4.5
2016,16,4.75,4.5
2016,17,4.53,4.5
2016,18,5.02,5.5
2016,19,5.55,5.5
2016,20,5.72,5.5
2016,21,4.96,4.5
2016,22,4.69,4.5
2016,23,5.51,5.5
2016,0,6.3,6.5
2016,1,7.25,7.5
2016,2,7.88,7.5
2016,3,7.77,7.5
2016,4,7.8,7.5
2016,5,7.79,7.5
2016,6,7.87,7.5
2016,7,7.69,7.5
2016,8,6.58,6.5
2016,9,6.78,6.5
2016,10,5.91,5.5
2016,11,4.18,4.5
2016,12,3.55,3.5
2016,13,4.68,4.5
2016,14,4.06,4.5
2016,15,3.63,3.5
2016,16,3.44,3.5
2016,17,3.41,3.5
2016,18,3.44,3.5
2016,19,3.61,3.5
2016,20,5.22,5.5
2016,21,7.22,7.5
2016,22,7.39,7.5
